point_id,ngv,n_disc,radius,n_below_m1,n_above_45
2043_2022_MN,0.028890347997373604,1523,7.5,0,0
2044_2021_MN,0.033630748112560054,1457,7.5,0,0
2045_2021_MN,0.0013600816048962938,2941,7.5,0,0
2046_2022_MN,0.10402373447061004,5393,7.5,0,0
2047_2021_MN,0.0,3217,7.5,0,0
2048_2021_MN,0.00423728813559322,2832,7.5,0,0
2049_2021_MN,0.191376855806386,4917,7.5,0,0
2050_2021_MN,0.029411764705882353,11152,7.5,0,0
2051_2022_MN,0.07712765957446809,1504,7.5,0,0
2052_2021_MN,0.0030508474576271187,2950,7.5,0,0
2053_2021_MN,0.031120990790727214,3149,7.5,0,0
2054_2021_MN,0.004596380350474002,3481,7.5,0,0
2055_2021_MN,0.0006289308176100629,1590,7.5,0,0
2056_2021_MN,0.031089853091902972,2927,7.5,0,0
2057_2021_MN,0.08743169398907104,1647,7.5,0,0
2058_2022_MN,0.0032135553607946245,3423,7.5,0,0
2059_2021_MN,0.03232817169247487,3681,7.5,0,0
2060_2021_MN,0.03195105370496261,1471,7.5,0,0
2061_2021_MN,0.019601437438745508,3061,7.5,0,0
2062_2021_MN,0.041191381495564006,1578,7.5,0,0
2063_2021_MN,0.03841536614645858,1666,7.5,0,0
2064_2021_MN,0.0006531678641410843,1531,7.5,0,0
2065_2021_MN,0.12831325301204818,1660,7.5,0,0
2066_2021_MN,0.23067983730389308,1721,7.5,0,0
2067_2021_MN,0.0006587615283267457,1518,7.5,0,0
2068_2021_MN,0.002352941176470588,3400,7.5,0,0
2069_2021_MN,0.03894216797442604,3441,7.5,0,0
2070_2021_MN,0.014884979702300407,1478,7.5,0,0
2071_2021_MN,0.019538757206918642,3122,7.5,0,0
2072_2021_MN,0.09760705289672544,3176,7.5,0,0
2073_2022_MN,0.009577347491151364,4803,7.5,0,0
2074_2021_MN,0.09683666881859264,1549,7.5,0,0
2075_2021_MN,0.024528301886792454,3180,7.5,0,0
2076_2021_MN,0.005496281926931782,3093,7.5,0,0
2077_2021_MN,0.02262727844123193,1591,7.5,0,0
2078_2021_MN,0.0,1460,7.5,0,0
2079_2021_MN,0.07706422018348624,1635,7.5,0,0
2080_2021_MN,0.06188118811881188,3232,7.5,0,0
2081_2021_MN,0.024489795918367346,1470,7.5,0,0
2082_2022_MN,0.1070811744386874,3474,7.5,0,0
2083_2022_MN,0.0,1538,7.5,0,0
2084_2021_MN,0.02012987012987013,1540,7.5,0,0
2085_2021_MN,0.0,1448,7.5,0,0
2086_2021_MN,0.02805949966193374,2958,7.5,0,0
2087_2021_MN,0.09675236806495263,1478,7.5,0,0
2088_2021_MN,0.17130488559059986,1617,7.5,0,0
2089_2021_MN,0.22121014964216004,1537,7.5,0,0
2090_2022_MN,0.008019639934533552,6110,7.5,0,0
2091_2021_MN,0.0,1557,7.5,0,0
2092_2021_MN,0.03916272788656313,1481,7.5,0,0
2093_2022_MN,0.004995836802664446,10809,7.5,0,0
2094_2021_MN,0.021678321678321677,1430,7.5,0,0
2095_2022_MN,0.0213903743315508,1683,7.5,0,0
2096_2021_MN,0.0,1450,7.5,0,0
2097_2021_MN,0.0918052988293284,1623,7.5,13,0
2098_2021_MN,0.006228163451313991,6583,7.5,0,0
2099_2021_MN,0.0005861664712778429,1706,7.5,0,0
2100_2021_MN,0.00501432664756447,1396,7.5,0,0
2101_2021_MN,0.08564231738035265,1588,7.5,0,0
2102_2022_MN,0.0011299435028248588,3540,7.5,0,0
2103_2021_MN,0.09642470205850487,3692,7.5,0,0
2104_2021_MN,0.0,3244,7.5,0,0
2105_2021_MN,0.0,3430,7.5,0,0
